,Muestra,DOMINIO,categoria,proporcion,cv,sd,ic_inf,ic_sup,deff,n,tm,cant_upms
0,0,AMCM,tv_rest,0.44808243072269366,0.01885316855584259,0.008447773593326604,0.43152479447977354,0.4646400669656138,1.6707417533299243,5740,1888,652
1,0,AMCM,NSE_1,0.26237239759983266,0.030068419070654225,0.007889123203604081,0.24690971612076867,0.27783507907889665,1.9828255343586063,5740,1888,652
2,0,AMCM,NSE_2,0.19559691487577807,0.03080732729079049,0.006025818173646983,0.18378631125543,0.20740751849612615,1.3203190840699746,5740,1888,652
3,0,AMCM,NSE_3,0.34129288891295473,0.022333302037542007,0.007622197171358289,0.3263533824570925,0.35623239536881696,1.4625402704201167,5740,1888,652
4,0,AMCM,NSE_4,0.20073779861143445,0.03140718893259225,0.006304609966901975,0.18838076307630658,0.21309483414656233,1.3539472135718726,5740,1888,652
5,0,AMCM,sky,0.0636882984633231,0.06539979555273218,0.004165201698602718,0.05552450313406178,0.07185209379258443,1.7454733963717073,5740,1888,652
6,0,AMCM,dish,0.032848153714919524,0.0900291060167891,0.0029572899132562745,0.027051865484937227,0.038644441944901825,1.619360952395649,5740,1888,652
7,0,AMCM,cable,0.35643613336739605,0.02379874325522772,0.008482732024896765,0.3398099785985984,0.3730622881361937,1.8348925443158084,5740,1888,652
8,0,AMCM,internet,0.7790654250577315,0.008776810441494682,0.006837709557254191,0.7656635143255133,0.7924673357899497,1.5041926061749789,5740,1888,652
9,0,AMCM,streaming,0.6840574746054803,0.01199318790165591,0.008204029828475741,0.6679775761416679,0.7001373730692927,1.7769805444477456,5740,1888,652
10,0,GDL,tv_rest,0.4863140812978638,0.03264035876316863,0.015873466085143027,0.4552020877709835,0.5174260748247441,1.427309204703229,1414,1888,166
11,0,GDL,NSE_1,0.3117226131415659,0.04785040646376016,0.014916053742769393,0.2824871478057379,0.3409580784773939,1.5570167533149821,1414,1888,166
12,0,GDL,NSE_2,0.19255332730020555,0.06166416712299311,0.011873640554728266,0.16928099181293815,0.21582566278747295,1.270219096683407,1414,1888,166
13,0,GDL,NSE_3,0.3268757852495271,0.04336765319577155,0.01417583569279699,0.299091147291645,0.3546604232074092,1.2500829100628454,1414,1888,166
14,0,GDL,NSE_4,0.1688482743087015,0.07020069745911268,0.011853266621238423,0.14561587173107418,0.19208067688632882,1.388218084561978,1414,1888,166
15,0,GDL,sky,0.053306984869067875,0.15315316460910558,0.008164133428467453,0.03730528334927167,0.06930868638886409,1.9520788773442652,1414,1888,166
16,0,GDL,dish,0.012848747390920543,0.24051811892905425,0.0030903565530588026,0.00679164854692529,0.018905846234915796,1.0755273092031836,1414,1888,166
17,0,GDL,cable,0.42303405214821377,0.03868016153011849,0.016363025469833477,0.3909625222273402,0.45510558206908736,1.5487005119808859,1414,1888,166
18,0,GDL,internet,0.7582144471543434,0.018813646799526303,0.014264778807059918,0.7302554806925059,0.7861734136161809,1.5582779262153255,1414,1888,166
19,0,GDL,streaming,0.6480091658598377,0.024112786742044545,0.015625306823268438,0.6173835644862316,0.6786347672334438,1.5304198830588582,1414,1888,166
20,0,MTY,tv_rest,0.48718596877764714,0.03678544111684054,0.017921350767421053,0.45206012127350187,0.5223118162817924,1.8426888996665944,1428,1888,158
21,0,MTY,NSE_1,0.306719323670389,0.051392642088159954,0.01576311642291479,0.27582361548147605,0.337615031859302,1.8095505087192263,1428,1888,158
22,0,MTY,NSE_2,0.1944417954139821,0.06871073482209954,0.013360238643023053,0.16825572767365693,0.22062786315430727,1.6500055608992066,1428,1888,158
23,0,MTY,NSE_3,0.3611094133044074,0.04669040471372497,0.016860344653118562,0.32806313778429497,0.3941556888245198,1.7304626168535509,1428,1888,158
24,0,MTY,NSE_4,0.13772946761122185,0.0707171701764158,0.009739838199369922,0.1186393847404568,0.1568195504819869,0.989657472754241,1428,1888,158
25,0,MTY,sky,0.05784038499008681,0.13354361851205343,0.007724214307706455,0.04270092494698216,0.07297984503319146,1.557793403967696,1428,1888,158
26,0,MTY,dish,0.02922976884290941,0.17889421111373494,0.005229036438189108,0.018980857424058757,0.03947868026176006,1.3382175319169594,1428,1888,158
27,0,MTY,cable,0.4024440521397883,0.04273481742707699,0.017198373092806907,0.3687352408778867,0.43615286340168985,1.7865497746353722,1428,1888,158
28,0,MTY,internet,0.8026036364954933,0.01415959794040691,0.011364544798284682,0.7803291286908552,0.8248781443001313,1.0501390888000688,1428,1888,158
